length, selection, insertion, merge
10, 45, 54, 15
25, 300, 324, 54
40, 780, 819, 100
55, 1485, 1539, 151
70, 2415, 2484, 205
85, 3570, 3654, 255
100, 4950, 5049, 316
115, 6555, 6669, 379
130, 8385, 8514, 451
145, 10440, 10584, 498
160, 12720, 12879, 560
175, 15225, 15399, 618
190, 17955, 18144, 691
205, 20910, 21114, 752
220, 24090, 24309, 824
235, 27495, 27729, 898
250, 31125, 31374, 983
265, 34980, 35244, 1046
280, 39060, 39339, 1100
295, 43365, 43659, 1159
310, 47895, 48204, 1225
325, 52650, 52974, 1295
340, 57630, 57969, 1360
355, 62835, 63189, 1435
370, 68265, 68634, 1513
385, 73920, 74304, 1602
400, 79800, 80199, 1664
415, 85905, 86319, 1737
430, 92235, 92664, 1811
445, 98790, 99234, 1898
460, 105570, 106029, 1976
475, 112575, 113049, 2061
490, 119805, 120294, 2151
505, 127260, 127764, 2250
520, 134940, 135459, 2324
535, 142845, 143379, 2375
550, 150975, 151524, 2435
565, 159330, 159894, 2500
580, 167910, 168489, 2572
595, 176715, 177309, 2635
610, 185745, 186354, 2711
625, 195000, 195624, 2788
640, 204480, 205119, 2880
655, 214185, 214839, 2938
670, 224115, 224784, 3011
685, 234270, 234954, 3085
700, 244650, 245349, 3172
715, 255255, 255969, 3250
730, 266085, 266814, 3335
745, 277140, 277884, 3425
760, 288420, 289179, 3524
775, 299925, 300699, 3607
790, 311655, 312444, 3673
805, 323610, 324414, 3748
820, 335790, 336609, 3828
835, 348195, 349029, 3915
850, 360825, 361674, 3993
865, 373680, 374544, 4084
880, 386760, 387639, 4176
895, 400065, 400959, 4279
910, 413595, 414504, 4355
925, 427350, 428274, 4442
940, 441330, 442269, 4532
955, 455535, 456489, 4632
970, 469965, 470934, 4727
985, 484620, 485604, 4826
1000, 499500, 500499, 4932
1015, 514605, 515619, 5043
1030, 529935, 530964, 5133
1045, 545490, 546534, 5183
1060, 561270, 562329, 5244
1075, 577275, 578349, 5307
1090, 593505, 594594, 5381
1105, 609960, 611064, 5443
1120, 626640, 627759, 5520
1135, 643545, 644679, 5593
1150, 660675, 661824, 5681
1165, 678030, 679194, 5744
1180, 695610, 696789, 5816
1195, 713415, 714609, 5890
1210, 731445, 732654, 5975
1225, 749700, 750924, 6056
1240, 768180, 769419, 6140
