length, selection, insertion, merge
10, 45, 17, 19
25, 300, 43, 74
40, 780, 61, 124
55, 1485, 89, 186
70, 2415, 105, 244
85, 3570, 141, 319
100, 4950, 149, 370
115, 6555, 179, 440
130, 8385, 209, 499
145, 10440, 225, 587
160, 12720, 249, 669
175, 15225, 283, 737
190, 17955, 293, 800
205, 20910, 329, 883
220, 24090, 361, 967
235, 27495, 383, 1038
250, 31125, 383, 1077
265, 34980, 411, 1169
280, 39060, 427, 1246
295, 43365, 457, 1340
310, 47895, 495, 1438
325, 52650, 497, 1518
340, 57630, 531, 1599
355, 62835, 535, 1669
370, 68265, 581, 1758
385, 73920, 601, 1813
400, 79800, 625, 1901
415, 85905, 659, 1993
430, 92235, 667, 2069
445, 98790, 711, 2160
460, 105570, 695, 2223
475, 112575, 733, 2310
490, 119805, 781, 2377
505, 127260, 779, 2418
520, 134940, 801, 2516
535, 142845, 841, 2616
550, 150975, 879, 2742
565, 159330, 905, 2845
580, 167910, 917, 2916
595, 176715, 943, 3044
610, 185745, 947, 3117
625, 195000, 977, 3203
640, 204480, 1007, 3275
655, 214185, 1025, 3380
670, 224115, 1071, 3500
685, 234270, 1083, 3577
700, 244650, 1097, 3656
715, 255255, 1119, 3736
730, 266085, 1143, 3820
745, 277140, 1203, 3917
760, 288420, 1169, 3966
775, 299925, 1203, 4038
790, 311655, 1241, 4166
805, 323610, 1271, 4266
820, 335790, 1303, 4340
835, 348195, 1319, 4435
850, 360825, 1323, 4518
865, 373680, 1357, 4624
880, 386760, 1389, 4679
895, 400065, 1413, 4764
910, 413595, 1447, 4859
925, 427350, 1449, 4926
940, 441330, 1475, 5033
955, 455535, 1515, 5114
970, 469965, 1527, 5170
985, 484620, 1543, 5269
1000, 499500, 1561, 5321
1015, 514605, 1599, 5392
1030, 529935, 1625, 5498
1045, 545490, 1627, 5606
1060, 561270, 1693, 5755
1075, 577275, 1669, 5851
1090, 593505, 1737, 5978
1105, 609960, 1743, 6056
1120, 626640, 1765, 6157
1135, 643545, 1783, 6272
1150, 660675, 1811, 6346
1165, 678030, 1839, 6478
1180, 695610, 1855, 6591
1195, 713415, 1895, 6704
1210, 731445, 1889, 6761
1225, 749700, 1931, 6898
1240, 768180, 1935, 6970
