length, selection, insertion, merge
10, 45, 27, 24
25, 300, 142, 86
40, 780, 422, 167
55, 1485, 902, 247
70, 2415, 1402, 338
85, 3570, 1979, 446
100, 4950, 2823, 541
115, 6555, 3818, 646
130, 8385, 4601, 744
145, 10440, 5320, 870
160, 12720, 7213, 979
175, 15225, 7253, 1082
190, 17955, 9485, 1212
205, 20910, 10286, 1329
220, 24090, 12805, 1451
235, 27495, 15243, 1559
250, 31125, 15749, 1673
265, 34980, 17345, 1803
280, 39060, 20648, 1941
295, 43365, 21547, 2061
310, 47895, 23812, 2196
325, 52650, 27583, 2307
340, 57630, 28704, 2417
355, 62835, 31711, 2560
370, 68265, 33779, 2669
385, 73920, 39128, 2807
400, 79800, 38313, 2949
415, 85905, 43866, 3108
430, 92235, 45652, 3215
445, 98790, 51739, 3381
460, 105570, 56293, 3502
475, 112575, 55620, 3635
490, 119805, 61209, 3770
505, 127260, 66646, 3894
520, 134940, 67412, 4034
535, 142845, 75016, 4171
550, 150975, 74821, 4340
565, 159330, 81757, 4444
580, 167910, 84138, 4578
595, 176715, 89390, 4752
610, 185745, 96819, 4903
625, 195000, 98963, 5027
640, 204480, 100835, 5170
655, 214185, 110511, 5321
670, 224115, 112651, 5456
685, 234270, 119645, 5604
700, 244650, 122636, 5728
715, 255255, 128162, 5901
730, 266085, 129446, 6029
745, 277140, 141891, 6174
760, 288420, 146927, 6314
775, 299925, 155090, 6482
790, 311655, 155060, 6628
805, 323610, 160784, 6757
820, 335790, 172698, 6915
835, 348195, 171786, 7084
850, 360825, 183222, 7193
865, 373680, 183772, 7322
880, 386760, 186756, 7489
895, 400065, 205309, 7679
910, 413595, 213603, 7797
925, 427350, 221205, 7944
940, 441330, 220246, 8112
955, 455535, 226699, 8257
970, 469965, 240674, 8417
985, 484620, 253851, 8549
1000, 499500, 253388, 8701
1015, 514605, 259425, 8875
1030, 529935, 265134, 8997
1045, 545490, 277352, 9143
1060, 561270, 274146, 9274
1075, 577275, 290541, 9466
1090, 593505, 289355, 9638
1105, 609960, 295762, 9777
1120, 626640, 315221, 9962
1135, 643545, 313917, 10071
1150, 660675, 338152, 10286
1165, 678030, 328079, 10431
1180, 695610, 342709, 10601
1195, 713415, 348915, 10752
1210, 731445, 362706, 10876
1225, 749700, 375994, 11068
1240, 768180, 382405, 11198
