length, selection, insertion, merge
10, 45, 9, 19
25, 300, 24, 64
40, 780, 39, 116
55, 1485, 54, 170
70, 2415, 69, 227
85, 3570, 84, 297
100, 4950, 99, 356
115, 6555, 114, 413
130, 8385, 129, 463
145, 10440, 144, 551
160, 12720, 159, 624
175, 15225, 174, 701
190, 17955, 189, 763
205, 20910, 204, 837
220, 24090, 219, 900
235, 27495, 234, 961
250, 31125, 249, 1011
265, 34980, 264, 1092
280, 39060, 279, 1188
295, 43365, 294, 1279
310, 47895, 309, 1363
325, 52650, 324, 1443
340, 57630, 339, 1528
355, 62835, 354, 1603
370, 68265, 369, 1675
385, 73920, 384, 1736
400, 79800, 399, 1824
415, 85905, 414, 1901
430, 92235, 429, 1977
445, 98790, 444, 2040
460, 105570, 459, 2112
475, 112575, 474, 2177
490, 119805, 489, 2237
505, 127260, 504, 2288
520, 134940, 519, 2372
535, 142845, 534, 2486
550, 150975, 549, 2591
565, 159330, 564, 2691
580, 167910, 579, 2784
595, 176715, 594, 2886
610, 185745, 609, 2975
625, 195000, 624, 3063
640, 204480, 639, 3136
655, 214185, 654, 3243
670, 224115, 669, 3335
685, 234270, 684, 3426
700, 244650, 699, 3504
715, 255255, 714, 3591
730, 266085, 729, 3671
745, 277140, 744, 3746
760, 288420, 759, 3812
775, 299925, 774, 3894
790, 311655, 789, 3993
805, 323610, 804, 4083
820, 335790, 819, 4168
835, 348195, 834, 4246
850, 360825, 849, 4333
865, 373680, 864, 4407
880, 386760, 879, 4480
895, 400065, 894, 4542
910, 413595, 909, 4631
925, 427350, 924, 4709
940, 441330, 939, 4784
955, 455535, 954, 4849
970, 469965, 969, 4919
985, 484620, 984, 4985
1000, 499500, 999, 5044
1015, 514605, 1014, 5098
1030, 529935, 1029, 5179
1045, 545490, 1044, 5309
1060, 561270, 1059, 5428
1075, 577275, 1074, 5545
1090, 593505, 1089, 5651
1105, 609960, 1104, 5769
1120, 626640, 1119, 5872
1135, 643545, 1134, 5979
1150, 660675, 1149, 6071
1165, 678030, 1164, 6188
1180, 695610, 1179, 6296
1195, 713415, 1194, 6402
1210, 731445, 1209, 6497
1225, 749700, 1224, 6596
1240, 768180, 1239, 6692
